id,sales_date,product,quantity,sales_amount
1,2024-01-01,Producto D,5,5025
2,2024-01-02,Producto C,13,5638
3,2024-01-03,Producto D,15,5510
4,2024-01-04,Producto D,5,7239
5,2024-01-05,Producto B,1,7936
6,2024-01-06,Producto B,18,3931
7,2024-01-07,Producto A,5,4208
8,2024-01-08,Producto C,2,3626
9,2024-01-09,Producto A,7,5231
10,2024-01-10,Producto A,15,6835
11,2024-01-11,Producto B,9,7045
12,2024-01-12,Producto D,11,7509
13,2024-01-13,Producto A,14,3381
14,2024-01-14,Producto C,6,5152
15,2024-01-15,Producto D,1,4007
16,2024-01-16,Producto B,2,4050
17,2024-01-17,Producto C,12,3871
18,2024-01-18,Producto D,8,7994
19,2024-01-19,Producto A,17,4453
20,2024-01-20,Producto C,19,7834
21,2024-01-21,Producto C,19,4621
22,2024-01-22,Producto B,2,7799
23,2024-01-23,Producto A,17,7975
24,2024-01-24,Producto B,19,7954
25,2024-01-25,Producto A,12,4238
26,2024-01-26,Producto C,13,6700
27,2024-01-27,Producto B,1,4409
28,2024-01-28,Producto D,5,6267
29,2024-01-29,Producto A,12,5300
30,2024-01-30,Producto D,3,5043
31,2024-01-31,Producto B,13,5514
32,2024-02-01,Producto C,14,3661
33,2024-02-02,Producto A,8,4318
34,2024-02-03,Producto B,8,4414
35,2024-02-04,Producto D,17,6939
36,2024-02-05,Producto C,11,4958
37,2024-02-06,Producto B,6,3153
38,2024-02-07,Producto D,4,6312
39,2024-02-08,Producto A,18,7575
40,2024-02-09,Producto C,17,3802
41,2024-02-10,Producto C,2,3980
42,2024-02-11,Producto A,6,3998
43,2024-02-12,Producto C,18,4369
44,2024-02-13,Producto C,16,3722
45,2024-02-14,Producto A,12,4525
46,2024-02-15,Producto A,11,4407
47,2024-02-16,Producto D,15,4365
48,2024-02-17,Producto D,13,5688
49,2024-02-18,Producto C,3,4994
50,2024-02-19,Producto C,12,5634
51,2024-02-20,Producto C,4,7764
52,2024-02-21,Producto D,7,6441
53,2024-02-22,Producto C,6,5823
54,2024-02-23,Producto D,16,6838
55,2024-02-24,Producto D,13,7320
56,2024-02-25,Producto B,5,5535
57,2024-02-26,Producto C,12,3589
58,2024-02-27,Producto D,13,4719
59,2024-02-28,Producto A,9,5830
60,2024-02-29,Producto D,11,6523
61,2024-03-01,Producto D,2,4914
62,2024-03-02,Producto D,10,6148
63,2024-03-03,Producto B,1,6129
64,2024-03-04,Producto C,2,7639
65,2024-03-05,Producto B,1,6099
66,2024-03-06,Producto A,15,6607
67,2024-03-07,Producto D,16,3687
68,2024-03-08,Producto D,7,7017
69,2024-03-09,Producto D,9,6281
70,2024-03-10,Producto C,4,6973
71,2024-03-11,Producto B,13,3293
72,2024-03-12,Producto A,7,7123
73,2024-03-13,Producto D,12,6803
74,2024-03-14,Producto B,14,7193
75,2024-03-15,Producto C,1,6964
76,2024-03-16,Producto B,14,7473
77,2024-03-17,Producto B,2,7486
78,2024-03-18,Producto D,10,7562
79,2024-03-19,Producto D,18,4624
80,2024-03-20,Producto D,17,5597
81,2024-03-21,Producto C,7,6170
82,2024-03-22,Producto C,19,5126
83,2024-03-23,Producto B,8,4767
84,2024-03-24,Producto B,9,5317
85,2024-03-25,Producto D,5,5864
86,2024-03-26,Producto B,19,5259
87,2024-03-27,Producto D,9,6214
88,2024-03-28,Producto A,12,3468
89,2024-03-29,Producto C,17,6570
90,2024-03-30,Producto B,19,7690
